,spike_x,minsize,eps,label_reference,method,epsilon_scaled,mean_CSI,mean_precision,std_precision,std_CSI
177,1,2,1.74,tcrvalid,tcrvalid,0.2111111111111111,8.585272176294165,83.92556921143986,1.703659657162032,0.0465622438489081
178,1,2,2.02,gliph,tcrvalid,0.26296296296296295,6.850994159922107,61.145251434381464,1.4288109733479126,0.0699791960744431
179,1,2,2.02,tcrvalid,tcrvalid,0.26296296296296295,9.498465067014266,76.89374914728052,1.3005441702034277,0.059669590557988476
180,1,2,2.31,gliph,tcrvalid,0.31666666666666665,6.9582783173161875,50.700306420224244,1.6034442448452029,0.11518879847758917
181,1,2,2.31,tcrvalid,tcrvalid,0.31666666666666665,10.489745862355631,72.88189660065295,1.4298285959266157,0.10088378513207856
182,1,2,2.59,gliph,tcrvalid,0.36851851851851847,6.913829408820233,43.57606169125844,1.6122771170987438,0.13285321646484938
183,1,2,2.59,tcrvalid,tcrvalid,0.36851851851851847,11.151134999759693,65.63083238779834,1.6545254786829813,0.10019923592155286
184,1,2,2.87,gliph,tcrvalid,0.42037037037037034,6.725319195698319,35.85152275088034,1.5446034800489157,0.1822868328233755
185,1,2,2.87,tcrvalid,tcrvalid,0.42037037037037034,11.836420898358934,59.98637419079246,1.3946949021201702,0.1618856870344754
186,1,2,3.16,gliph,tcrvalid,0.47407407407407404,6.08772877350448,27.86594857138504,1.7119479742203263,0.2710904986891907
187,1,2,3.16,tcrvalid,tcrvalid,0.47407407407407404,12.685858102175539,54.842591642738874,1.469153016055297,0.19303264570586653
188,1,2,3.44,gliph,tcrvalid,0.5259259259259259,5.946715454028509,22.684125798184382,1.2895684125719347,0.272906041982485
189,1,2,3.44,tcrvalid,tcrvalid,0.5259259259259259,11.61176086752591,42.79815117974158,9.566050688494524,2.6584768337467173
190,1,2,3.73,gliph,tcrvalid,0.5796296296296296,5.710699183021115,18.425920338720527,0.8077829383813537,0.2308897345589957
191,1,2,3.73,tcrvalid,tcrvalid,0.5796296296296296,5.142855368754878,16.44029951121284,1.4841196020516505,0.45229733443323733
192,1,2,4.01,gliph,tcrvalid,0.6314814814814814,4.930579081154031,13.62051855400386,0.9414430047497584,0.3246954409042391
193,1,2,4.01,tcrvalid,tcrvalid,0.6314814814814814,4.224895574067383,11.728513669792916,0.6324500679701259,0.19022486963757698
194,1,2,4.29,gliph,tcrvalid,0.6833333333333332,4.024771801285168,9.653464382350437,0.8934817563865093,0.36402261274021813
195,1,2,4.29,tcrvalid,tcrvalid,0.6833333333333332,3.373847471946541,8.160881610598809,0.6952720589162423,0.2795719127194953
196,1,2,4.58,gliph,tcrvalid,0.7370370370370369,2.71281216283142,5.72169313982226,0.5493795341427489,0.24779000259370224
197,1,2,4.58,tcrvalid,tcrvalid,0.7370370370370369,2.373021687847264,5.052714571877114,0.32433984685780415,0.14653959668365982
198,1,2,4.86,gliph,tcrvalid,0.788888888888889,1.917363100759554,3.5713423214839466,0.2724709071741632,0.1494571165096607
199,1,2,4.86,tcrvalid,tcrvalid,0.788888888888889,1.880567524910763,3.528921688043199,0.2802422904677124,0.14154546178988056
200,1,2,5.15,gliph,tcrvalid,0.8425925925925927,1.4989440980592401,2.508116032623614,0.25341924963882473,0.1482367577911582
201,1,2,5.15,tcrvalid,tcrvalid,0.8425925925925927,1.4343254554649467,2.416193345136501,0.19675665553730295,0.1115899143408507
202,1,2,5.43,gliph,tcrvalid,0.8944444444444444,1.1249768229452006,1.723261516316573,0.16846306378027795,0.10942887706549907
203,1,2,5.43,tcrvalid,tcrvalid,0.8944444444444444,1.1363083377441627,1.7468127909443978,0.18061155704491957,0.11590694080171156
204,1,2,5.5,gliph,ismart,0.0,2.9764212161881005,6.041378195864677,0.367449351749085,0.1604226270272845
205,1,2,5.5,tcrvalid,ismart,0.0,2.6869776005953376,5.752286232220136,0.26832195066940545,0.11512893722735933
206,1,2,5.72,gliph,tcrvalid,0.9481481481481481,0.8981435061950837,1.2726713643794918,0.14152750469064765,0.09994636263634067
207,1,2,5.72,tcrvalid,tcrvalid,0.9481481481481481,0.7506301326069855,1.0674632545582596,0.19135921980116996,0.13340982244330998
208,1,2,6.0,gliph,ismart,0.2,3.989500438232735,10.567519973777658,0.7872966874080599,0.2855976446237574
209,1,2,6.0,gliph,tcrvalid,1.0,0.6820376885370811,0.9035548680840378,0.08655330111112827,0.06557372920412854
