,Unnamed: 0,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,eps,minsize,spike_x,label_reference,fold,epsilon_scaled
17,0,9.0,31,8,1.7318007662835249,0.1226053639846743,1.7318007662835249,96.77419354838712,1.6398467432950192,94.69026548672566,ismart,7.5,3,1,gliph,9,0.8
18,10,,152,38,5.5010726325467365,0.1225865767698437,5.5010726325467365,88.92543859649122,4.397793441618143,79.94428969359332,ismart,7.5,2,1,gliph,10,0.8
19,0,10.0,32,9,1.823475329451425,0.1225865767698437,1.823475329451425,94.27083333333334,1.6395954642966597,89.91596638655462,ismart,7.5,3,1,gliph,10,0.8
0,1,,50,15,1.6398467432950192,0.0613026819923371,1.624770079705702,95.0,1.471489883507051,90.56603773584904,ismart,8.0,2,1,gliph,1,1.0
1,0,1.0,6,3,0.2911877394636015,0.0613026819923371,0.2912323727774371,100.0,0.2912323727774371,100.0,ismart,8.0,3,1,gliph,1,1.0
2,2,,50,16,1.65491878639289,0.0612932883849218,1.65491878639289,93.66666666666669,1.455715599141894,87.96296296296296,ismart,8.0,2,1,gliph,2,1.0
3,0,2.0,7,4,0.3371130861170702,0.0612932883849218,0.3371130861170702,90.47619047619048,0.2911431198283788,86.36363636363636,ismart,8.0,3,1,gliph,2,1.0
4,3,,51,16,1.6702421084891204,0.0612932883849218,1.6551724137931034,94.11764705882354,1.471264367816092,88.88888888888889,ismart,8.0,2,1,gliph,3,1.0
5,0,3.0,6,3,0.2911431198283788,0.0612932883849218,0.2911877394636015,100.0,0.2911877394636015,100.0,ismart,8.0,3,1,gliph,3,1.0
6,4,,48,14,1.578544061302682,0.0613026819923371,1.578544061302682,95.83333333333331,1.4559386973180075,92.23300970873788,ismart,8.0,2,1,gliph,4,1.0
7,0,4.0,6,3,0.2911877394636015,0.0613026819923371,0.2911877394636015,100.0,0.2911877394636015,100.0,ismart,8.0,3,1,gliph,4,1.0
8,5,,50,16,1.6398467432950192,0.0613026819923371,1.6398467432950192,94.0,1.4559386973180075,88.78504672897196,ismart,8.0,2,1,gliph,5,1.0
9,0,5.0,6,3,0.2911877394636015,0.0613026819923371,0.2911877394636015,100.0,0.2911877394636015,100.0,ismart,8.0,3,1,gliph,5,1.0
10,6,,55,20,1.7933782955242183,0.0613120784794604,1.7783228575808676,90.9090909090909,1.471715468342787,82.75862068965517,ismart,8.0,2,1,gliph,6,1.0
11,0,6.0,6,3,0.2912323727774371,0.0613120784794604,0.2912770197761766,100.0,0.2912770197761766,100.0,ismart,8.0,3,1,gliph,6,1.0
12,7,,49,14,1.609442060085837,0.0613120784794604,1.5943584240380193,95.91836734693878,1.471715468342787,92.3076923076923,ismart,8.0,2,1,gliph,7,1.0
13,0,7.0,6,3,0.2912323727774371,0.0613120784794604,0.2912770197761766,100.0,0.2912770197761766,100.0,ismart,8.0,3,1,gliph,7,1.0
14,8,,50,16,1.6400980993255672,0.0613120784794604,1.6400980993255672,94.0,1.4561618638871858,88.78504672897196,ismart,8.0,2,1,gliph,8,1.0
15,0,8.0,6,3,0.2912323727774371,0.0613120784794604,0.2912323727774371,100.0,0.2912323727774371,100.0,ismart,8.0,3,1,gliph,8,1.0
16,9,,50,16,1.6398467432950192,0.0613026819923371,1.6398467432950192,94.0,1.4559386973180075,88.78504672897196,ismart,8.0,2,1,gliph,9,1.0
17,0,9.0,6,3,0.2911877394636015,0.0613026819923371,0.2911877394636015,100.0,0.2911877394636015,100.0,ismart,8.0,3,1,gliph,9,1.0
18,10,,53,19,1.7315353968740423,0.0612932883849218,1.7315353968740423,91.50943396226415,1.455715599141894,84.070796460177,ismart,8.0,2,1,gliph,10,1.0
19,0,10.0,6,3,0.2911431198283788,0.0612932883849218,0.2911431198283788,100.0,0.2911431198283788,100.0,ismart,8.0,3,1,gliph,10,1.0
0,1,,366,265,53.06977219327817,16.232505873940138,53.06497752349816,54.548522411679926,1.5222721700040869,2.86979969183359,ismart,5.5,2,2,gliph,1,0.0
1,0,1.0,113,76,47.900704872816426,16.232505873940138,47.90559869227626,44.37840002367128,0.5925623212096445,1.237465329635161,ismart,5.5,3,2,gliph,1,0.0
2,2,,389,276,53.34014300306435,16.046986721144023,53.33537644294616,52.7167317335247,1.43017672898151,2.681992337164751,ismart,5.5,2,2,gliph,2,0.0
3,0,2.0,126,86,47.96731358529112,16.046986721144023,47.96199816120135,39.33975114556436,0.4494841148227602,0.9373668512995312,ismart,5.5,3,2,gliph,2,0.0
4,3,,398,296,53.958524874859535,16.477679027479823,53.958524874859535,52.372874157422295,1.481254469302278,2.746212121212121,ismart,5.5,2,2,gliph,3,0.0
5,0,3.0,119,79,48.2582490550618,16.477679027479823,48.2582490550618,41.12944466095863,0.6640106241699867,1.376535366370182,ismart,5.5,3,2,gliph,3,0.0
6,4,,371,273,52.98324478953821,15.54965263588067,52.98324478953821,53.30339823465161,1.5324887617490806,2.8940767895041484,ismart,5.5,2,2,gliph,4,0.0
7,0,4.0,109,75,47.62975071516142,15.54965263588067,47.62975071516142,40.60147472528206,0.6129955046996322,1.28783000643915,ismart,5.5,3,2,gliph,4,0.0
8,5,,409,298,52.72299989782364,16.1336466741596,52.72299989782364,52.42300597975004,1.491774803310514,2.831103354663564,ismart,5.5,2,2,gliph,5,0.0
9,0,5.0,131,89,47.04199448247675,16.1336466741596,47.04199448247675,41.15274386044096,0.6130581383467866,1.3040643338404694,ismart,5.5,3,2,gliph,5,0.0
10,6,,414,309,53.821005312627705,15.70290151205558,53.821005312627705,51.71686898493945,1.5427053534940744,2.86745157614888,ismart,5.5,2,2,gliph,6,0.0
11,0,6.0,140,92,48.22231303637107,15.70290151205558,48.22231303637107,41.50559828403523,0.7662443808745403,1.58965663416702,ismart,5.5,3,2,gliph,6,0.0
12,7,,421,312,52.25298865842444,15.275365280474098,52.25298865842444,52.79281227678559,1.6143864309798712,3.090162331312341,ismart,5.5,2,2,gliph,7,0.0
13,0,7.0,131,86,46.32675998773884,15.275365280474098,46.32675998773884,41.03644250783766,0.653928680903239,1.4118685197440988,ismart,5.5,3,2,gliph,7,0.0
14,8,,405,291,52.44226445943184,15.695892090741877,52.42768067055096,53.657368735042574,1.574159255851988,3.002534607135894,ismart,5.5,2,2,gliph,8,0.0
