,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
30,151.0,15.0,55.38911216660577,5.626598465473146,55.38911216660577,53.46838668040582,9.535988308366823,17.21635883905013,ESM,11.71,TRA,3,True,CDR3,both,False
31,151.0,16.0,63.39057362075265,5.699671172816953,63.39057362075265,49.72843277432045,8.111070515162586,12.795389048991357,ESM,12.49,TRA,3,True,CDR3,both,False
32,153.0,16.0,71.0632078918524,9.426379247351116,71.0632078918524,47.32028428753224,7.855316039459262,11.053984575835475,ESM,13.27,TRA,3,True,CDR3,both,False
33,138.0,15.0,78.407014979905,29.923273657289,78.407014979905,47.093728461646506,6.649616368286445,8.48089468779124,ESM,14.05,TRA,3,True,CDR3,both,False
34,114.0,16.0,83.96054073803434,39.82462550237487,83.96054073803434,44.72409883490985,7.891852393131166,9.399477806788513,ESM,14.83,TRA,3,True,CDR3,both,False
35,80.0,14.0,87.97953964194373,57.508220679576176,87.97953964194373,46.98821468657498,0.401899890390939,0.4568106312292359,ESM,15.61,TRA,3,True,CDR3,both,False
36,56.0,9.0,91.30434782608695,75.88600657654366,91.30434782608695,48.228968248433134,0.2922908293752284,0.3201280512204882,ESM,16.4,TRA,3,True,CDR3,both,False
37,27.0,8.0,93.09462915601024,82.68176835951772,93.09462915601024,52.99883630066442,0.3653635367190354,0.3924646781789639,ESM,17.18,TRA,3,True,CDR3,both,False
38,16.0,5.0,94.30032882718304,88.27183047131896,94.30032882718304,59.37455042121847,0.2557544757033248,0.2712127082526153,ESM,17.96,TRA,3,True,CDR3,both,False
39,19.0,4.0,3.320650294015912,0.7609823590453131,3.320650294015912,98.24561403508773,3.2168799723279142,96.875,ESM,6.86,TRB,3,True,CDR3,both,False
40,40.0,6.0,8.33621584226911,1.6257350397786232,8.33621584226911,96.29583333333332,7.540643375994466,90.45643153526972,ESM,7.62,TRB,3,True,CDR3,both,False
41,41.0,10.0,13.144240747146316,2.4904877205119336,13.144240747146316,90.36620109790842,11.656866136285023,88.6842105263158,ESM,8.38,TRB,3,True,CDR3,both,False
42,47.0,10.0,16.049809754410237,3.286060186786579,16.049809754410237,85.79445336719655,13.144240747146316,81.89655172413794,ESM,9.14,TRB,3,True,CDR3,both,False
43,55.0,10.0,21.16914562435144,4.669664475959875,21.16914562435144,77.76776620062464,7.160152196471809,33.8235294117647,ESM,9.9,TRB,3,True,CDR3,both,False
44,61.0,10.0,27.11864406779661,10.722933241093047,27.11864406779661,71.87226411860432,3.1476997578692494,11.607142857142858,ESM,10.67,TRB,3,True,CDR3,both,False
45,63.0,12.0,32.48011068834313,16.222760290556902,32.48011068834313,69.3272485783533,3.701141473538568,11.395101171458998,ESM,11.43,TRB,3,True,CDR3,both,False
46,67.0,11.0,40.57419578000692,18.540297474922173,40.57419578000692,66.66348299805766,3.5627810446212385,8.780903665814153,ESM,12.19,TRB,3,True,CDR3,both,False
47,61.0,11.0,49.11795226565202,25.56208924247665,49.11795226565202,60.99359122024016,2.87097890003459,5.845070422535211,ESM,12.95,TRB,3,True,CDR3,both,False
48,47.0,10.0,58.906952611553095,39.501902455897614,58.906952611553095,57.1685681053587,1.1414735385679695,1.9377568995889607,ESM,13.71,TRB,3,True,CDR3,both,False
49,27.0,9.0,67.4507090971982,57.10826703562781,67.4507090971982,50.233414832155226,0.3113109650639917,0.4615384615384615,ESM,14.48,TRB,3,True,CDR3,both,False
50,19.0,10.0,76.58249740574196,72.15496368038741,76.58249740574196,47.862870944820784,0.1037703216879972,0.1355013550135501,ESM,15.24,TRB,3,True,CDR3,both,False
51,14.0,8.0,82.6011760636458,79.45347630577655,82.6011760636458,39.6074511518569,0.0,0.0,ESM,16.0,TRB,3,True,CDR3,both,False
52,12.0,7.0,87.58215150466967,85.54133517813905,87.58215150466967,36.21476043837548,0.0,0.0,ESM,16.76,TRB,3,True,CDR3,both,False
53,10.0,4.0,90.72985126253892,89.24247665167762,90.72985126253892,42.16389811738649,0.0,0.0,ESM,17.52,TRB,3,True,CDR3,both,False
54,51.0,6.0,9.08645603722753,1.8613764388929708,9.08645603722753,99.29193899782136,8.768062698995836,96.49595687331536,ESM,1.07,TR,3,True,CDR3,both,True
55,54.0,8.0,12.833700710262065,2.571638501102131,12.833700710262065,98.7066431510876,12.66225814352192,98.66412213740458,ESM,1.19,TR,3,True,CDR3,both,True
56,50.0,10.0,15.723732549595884,6.612784717119765,15.723732549595884,97.64444444444445,15.331863825618418,97.50778816199376,ESM,1.31,TR,3,True,CDR3,both,True
57,57.0,10.0,19.93632133235366,11.731569924075435,19.93632133235366,96.5804298498508,19.250551065393093,96.56019656019656,ESM,1.43,TR,3,True,CDR3,both,True
58,66.0,11.0,24.76120499632623,13.690913543962772,24.76120499632623,94.21440316789152,23.31618907665932,94.16419386745795,ESM,1.54,TR,3,True,CDR3,both,True
59,79.0,10.0,31.00661278471712,17.560617193240265,31.00661278471712,90.95028553942277,9.502816556453588,30.647709320695103,ESM,1.66,TR,3,True,CDR3,both,True
60,78.0,11.0,38.79500367376929,27.62674504041146,38.79500367376929,84.35464215710145,7.788390889052168,20.07575757575757,ESM,1.78,TR,3,True,CDR3,both,True
61,57.0,12.0,49.59588537839824,43.37496938525594,49.59588537839824,81.57174823650797,3.4778349253000247,7.012345679012346,ESM,1.9,TR,3,True,CDR3,both,True
62,41.0,11.0,62.57653686015185,58.31496448689689,62.57653686015185,79.6847137478764,2.253245162870438,3.6007827788649704,ESM,2.02,TR,3,True,CDR3,both,True
63,19.0,9.0,76.21846681361744,73.6958119030125,76.21846681361744,81.9914816952651,0.9551800146950772,1.2532133676092545,ESM,2.14,TR,3,True,CDR3,both,True
64,15.0,8.0,85.69679157482244,84.12931667891256,85.69679157482244,81.15890344492965,0.5878030859662013,0.685910260074307,ESM,2.26,TR,3,True,CDR3,both,True
