,repertoire_id
380,7194966250378751510-242ac113-0001-012
381,8929574692214271510-242ac113-0001-012
382,4489148681005634026-242ac113-0001-012
383,4699535688138157590-242ac113-0001-012
384,4671942489123394026-242ac113-0001-012
385,9115332027766271510-242ac113-0001-012
386,6921763380680191510-242ac113-0001-012
387,6183232140541357590-242ac113-0001-012
388,3831350998924717590-242ac113-0001-012
389,7426679735997951510-242ac113-0001-012
390,8821298780197360106-242ac113-0001-012
391,7139174625203711510-242ac113-0001-012
392,2990971522960921066-242ac113-0001-012
393,8328911902277037590-242ac113-0001-012
394,7889634260833791510-242ac113-0001-012
395,6068708803455554026-242ac113-0001-012
396,6198994670517677590-242ac113-0001-012
397,8647352391194111510-242ac113-0001-012
398,7615658297021951510-242ac113-0001-012
399,7801404018982317590-242ac113-0001-012
400,7856703688780354026-242ac113-0001-012
401,7456732893478317590-242ac113-0001-012
402,6479092928588354026-242ac113-0001-012
403,8500078176129520106-242ac113-0001-012
404,4165136348195394026-242ac113-0001-012
405,7438932219898434026-242ac113-0001-012
406,7865367695611391510-242ac113-0001-012
407,7208120677411394026-242ac113-0001-012
408,7596963575692717590-242ac113-0001-012
409,6597997132316077590-242ac113-0001-012
410,8168592386708991510-242ac113-0001-012
411,5618596230834754026-242ac113-0001-012
412,5946966613710868971-242ac118-0001-012
413,8864334138988031510-242ac113-0001-012
414,8630645181927920106-242ac113-0001-012
415,8430542442092031510-242ac113-0001-012
416,6841318643226111510-242ac113-0001-012
417,7735819868372397590-242ac113-0001-012
418,5840923247050157590-242ac113-0001-012
419,9010835473454591510-242ac113-0001-012
420,8181766322716077590-242ac113-0001-012
421,3852482238021037590-242ac113-0001-012
422,4512899850152514026-242ac113-0001-012
423,5181841006504514026-242ac113-0001-012
424,8562569950286320106-242ac113-0001-012
425,7326466535390637590-242ac113-0001-012
426,6927635872284077590-242ac113-0001-012
427,7085800008821314026-242ac113-0001-012
428,8821115154398637590-242ac113-0001-012
429,4103288819132994026-242ac113-0001-012
430,5988111776284077590-242ac113-0001-012
431,5730007682492994026-242ac113-0001-012
432,9013412667347440106-242ac113-0001-012
433,9125694726056514026-242ac113-0001-012
434,7239462111565311510-242ac113-0001-012
435,8845865779615231510-242ac113-0001-012
436,2758769915646504470-242ac113-0001-012
437,9200286694396400106-242ac113-0001-012
438,8073415911429631510-242ac113-0001-012
439,872590978383277590-242ac113-0001-012
440,3520781913750957590-242ac113-0001-012
441,6355331480092077590-242ac113-0001-012
442,7409371017795071510-242ac113-0001-012
443,7986271024993791510-242ac113-0001-012
444,8443568020105794026-242ac113-0001-012
445,8765335356330480106-242ac113-0001-012
446,8386132480251391510-242ac113-0001-012
447,4846286825259667946-242ac113-0001-012
448,5582194417139117590-242ac113-0001-012
449,6346722036525634026-242ac113-0001-012
450,7036567856502271510-242ac113-0001-012
451,5457898063592877590-242ac113-0001-012
452,8995084770585154026-242ac113-0001-012
