,repertoire_id
337,4343139301916077590-242ac113-0001-012
338,2434348980447669780-242ac117-0001-012
339,4573974285101634026-242ac113-0001-012
340,2735510372888416746-242ac113-0001-012
341,3242877196620206571-242ac117-0001-012
342,2444012656863669780-242ac117-0001-012
343,1882381838897704470-242ac113-0001-012
344,4189285677990547946-242ac113-0001-012
345,1160646539543187946-242ac113-0001-012
346,8326045887780351510-242ac113-0001-012
347,3264953328521646571-242ac117-0001-012
348,3784132544198602260-242ac117-0001-012
349,5946966613710868971-242ac118-0001-012
350,3787043711274521066-242ac113-0001-012
351,7844396641615277590-242ac113-0001-012
352,7984026028408237590-242ac113-0001-012
353,2714891025174041066-242ac113-0001-012
354,5015988878507437590-242ac113-0001-012
355,2434907326196149780-242ac117-0001-012
356,2731984995012121066-242ac113-0001-012
357,8014761852512506346-242ac113-0001-012
358,8977850338136560106-242ac113-0001-012
359,4103288819132994026-242ac113-0001-012
360,602257841390227946-242ac113-0001-012
361,6759112969180671510-242ac113-0001-012
362,3831350998924717590-242ac113-0001-012
363,4209815621665427946-242ac113-0001-012
364,2120661543541019116-242ac114-0001-012
365,4945930066526867946-242ac113-0001-012
366,5584279442139714026-242ac113-0001-012
367,1466456106401197590-242ac113-0001-012
368,3481499737837081066-242ac113-0001-012
369,8514520879835714026-242ac113-0001-012
370,3115228431527776746-242ac113-0001-012
371,649030035243667946-242ac113-0001-012
372,2779916830035481066-242ac113-0001-012
373,8645259684325954026-242ac113-0001-012
374,945339828994707946-242ac113-0001-012
375,6232604755470914026-242ac113-0001-012
376,5833988840729154026-242ac113-0001-012
377,5371936259025474026-242ac113-0001-012
378,9168773248035394026-242ac113-0001-012
379,6029944757747117590-242ac113-0001-012
380,9115332027766271510-242ac113-0001-012
381,684678263800467946-242ac113-0001-012
382,2648981556626067946-242ac113-0001-012
383,2597063297400237590-242ac113-0001-012
384,7985037311584834026-242ac113-0001-012
385,4592325409047187946-242ac113-0001-012
386,1905059266220584470-242ac113-0001-012
387,2584557047186067946-242ac113-0001-012
388,2143467819882779116-242ac114-0001-012
389,3777604193908682260-242ac117-0001-012
390,8460638549245357590-242ac113-0001-012
391,2122766077516059116-242ac114-0001-012
392,9136849813919231510-242ac113-0001-012
393,840266092481474070-242ac113-0001-012
394,7208120677411394026-242ac113-0001-012
395,5815305732991554026-242ac113-0001-012
396,8053303850892717590-242ac113-0001-012
397,7752554099091706346-242ac113-0001-012
398,2618366335188397590-242ac113-0001-012
399,4354114909219394026-242ac113-0001-012
400,8677324260969353706-242ac116-0001-012
401,8908443666633200106-242ac113-0001-012
402,5358684319055277590-242ac113-0001-012
403,4114260494712237590-242ac113-0001-012
404,5860078801190317590-242ac113-0001-012
405,2121305788635419116-242ac114-0001-012
406,1323519594790317590-242ac113-0001-012
407,3475598857797037590-242ac113-0001-012
408,2287955600658984470-242ac113-0001-012
409,8048348496767226346-242ac113-0001-012
410,8213318190606586346-242ac113-0001-012
411,2184360989479464470-242ac113-0001-012
412,2329015488008744470-242ac113-0001-012
413,2973405106720281066-242ac113-0001-012
414,1814521355620904470-242ac113-0001-012
415,5955685397321748971-242ac118-0001-012
416,8595805781691273706-242ac116-0001-012
417,2267382707311144470-242ac113-0001-012
418,2946346812755481066-242ac113-0001-012
419,8873475417377673706-242ac116-0001-012
420,
421,8785772185193353706-242ac116-0001-012
422,9094759347933680106-242ac113-0001-012
423,1361358256668077590-242ac113-0001-012
424,2697867279389224470-242ac113-0001-012
425,4300275528301997590-242ac113-0001-012
426,7149752003111162346-242ac113-0001-012
427,6405496698109357590-242ac113-0001-012
428,7371801881061954026-242ac113-0001-012
429,8268095165365677590-242ac113-0001-012
430,9040716832243117590-242ac113-0001-012
431,7976558973859467756-242ac117-0001-012
432,5982700741613588971-242ac118-0001-012
433,2140332493756699116-242ac114-0001-012
434,2133975942158619116-242ac114-0001-012
435,7751777637739074026-242ac113-0001-012
436,4375566305000877590-242ac113-0001-012
437,3008349365665197590-242ac113-0001-012
438,2812347337813856746-242ac113-0001-012
439,3169918139957907946-242ac113-0001-012
440,5988111776284077590-242ac113-0001-012
441,7829118171633151510-242ac113-0001-012
442,7619168556613037590-242ac113-0001-012
443,2879793099113107946-242ac113-0001-012
444,5979178868430868971-242ac118-0001-012
445,7871825340901626346-242ac113-0001-012
446,7203286873341357590-242ac113-0001-012
447,6591320424032834026-242ac113-0001-012
448,8500078176129520106-242ac113-0001-012
449,8725821657207280106-242ac113-0001-012
450,253428492991917590-242ac113-0001-012
451,5939794018326548971-242ac118-0001-012
452,2745213494283801066-242ac113-0001-012
453,7122799186214317590-242ac113-0001-012
454,8344846230945197590-242ac113-0001-012
455,8392520367930797590-242ac113-0001-012
456,5638576621829034476-242ac114-0001-012
457,4375417947007554026-242ac113-0001-012
458,3997987834626707946-242ac113-0001-012
459,5988799595173908971-242ac118-0001-012
460,5164981294005677590-242ac113-0001-012
461,8368921419753722346-242ac113-0001-012
462,3663692250533401066-242ac113-0001-012
463,1259267983594024470-242ac113-0001-012
464,3434813443329561066-242ac113-0001-012
465,3267830956609966571-242ac117-0001-012
466,8134392833441197590-242ac113-0001-012
467,7488281394129474026-242ac113-0001-012
468,6140626060670070294-242ac113-0001-012
469,2262657143733677590-242ac113-0001-012
470,1116923772469907946-242ac113-0001-012
471,1385101530432147946-242ac113-0001-012
472,2438643947743669780-242ac117-0001-012
473,7690636812418477590-242ac113-0001-012
474,7413912069537197590-242ac113-0001-012
475,3149928262585881066-242ac113-0001-012
476,4763007409390227946-242ac113-0001-012
477,2141148537542939116-242ac114-0001-012
478,3755389802303001066-242ac113-0001-012
479,8665906649912831510-242ac113-0001-012
480,5235613997050434026-242ac113-0001-012
481,1141877532459667946-242ac113-0001-012
482,4145121800596034026-242ac113-0001-012
483,4646356097630867946-242ac113-0001-012
484,4609255475576237590-242ac113-0001-012
485,3099419447184921066-242ac113-0001-012
486,2121219889289499116-242ac114-0001-012
487,2131742559164699116-242ac114-0001-012
488,6383205817843117590-242ac113-0001-012
489,411499507321794070-242ac113-0001-012
490,5071889843726914026-242ac113-0001-012
491,7344480937560174100-242ac117-0001-012
492,6038105819731988971-242ac118-0001-012
493,3775886206990282260-242ac117-0001-012
494,5985707218720788971-242ac118-0001-012
495,5986566212179988971-242ac118-0001-012
496,2803109653433881066-242ac113-0001-012
497,7976387175167627756-242ac117-0001-012
498,5559884027898434026-242ac113-0001-012
499,7525323521195437590-242ac113-0001-012
500,7568382534199874026-242ac113-0001-012
501,507046311820717590-242ac113-0001-012
502,5327374007467437590-242ac113-0001-012
503,9219473371102637590-242ac113-0001-012
504,1772292832166547946-242ac113-0001-012
505,10290394365357590-242ac113-0001-012
506,8311130737671597590-242ac113-0001-012
507,5966402682464834026-242ac113-0001-012
508,8701340343620080106-242ac113-0001-012
509,4550234729546387946-242ac113-0001-012
510,1213818234667667946-242ac113-0001-012
511,5981154557681996267-242ac118-0001-012
512,3372407568518681066-242ac113-0001-012
513,6367939174967874026-242ac113-0001-012
514,7036064287533634026-242ac113-0001-012
515,3776143905028042260-242ac117-0001-012
516,3173124590677856746-242ac113-0001-012
517,8196138321422586346-242ac113-0001-012
518,3025420665368416746-242ac113-0001-012
519,2825404038393696746-242ac113-0001-012
520,5639993961036714476-242ac114-0001-012
521,5116944050661954026-242ac113-0001-012
522,2037507062694547946-242ac113-0001-012
523,3010900171214361066-242ac113-0001-012
524,8087749488606637590-242ac113-0001-012
525,3400500159328096746-242ac113-0001-012
526,8321805697264194026-242ac113-0001-012
527,5986523266801996267-242ac118-0001-012
528,2127447591868699116-242ac114-0001-012
529,7941829940587074026-242ac113-0001-012
530,8906081221105151510-242ac113-0001-012
531,6618655925009837590-242ac113-0001-012
532,9051938523992560106-242ac113-0001-012
533,7162925794350591510-242ac113-0001-012
534,5270809288179117590-242ac113-0001-012
535,5924011355253314026-242ac113-0001-012
536,8563612356028994026-242ac113-0001-012
537,7279577106109951510-242ac113-0001-012
538,7444589749622271510-242ac113-0001-012
539,958506542140354070-242ac113-0001-012
540,161043746454957590-242ac113-0001-012
541,8504146567953837590-242ac113-0001-012
542,5715424302661037590-242ac113-0001-012
543,1060359053181587946-242ac113-0001-012
544,328117974269357590-242ac113-0001-012
545,3244122737136046571-242ac117-0001-012
546,6018606672503116267-242ac118-0001-012
547,6948938905777270294-242ac113-0001-012
548,1947699296535187946-242ac113-0001-012
549,4123045668694594026-242ac113-0001-012
550,7368881234553082346-242ac113-0001-012
551,7300825580633517590-242ac113-0001-012
552,6018348970170388971-242ac118-0001-012
553,4742895348853314026-242ac113-0001-012
554,853384579187347946-242ac113-0001-012
555,4281744710281794026-242ac113-0001-012
556,2922828671419027946-242ac113-0001-012
557,5633628616370754026-242ac113-0001-012
558,7098758982948351510-242ac113-0001-012
559,8864334138988031510-242ac113-0001-012
560,7591059961522754026-242ac113-0001-012
561,8907295639054914026-242ac113-0001-012
562,3265253976232366571-242ac117-0001-012
563,3679609804357037590-242ac113-0001-012
564,2750242110713696746-242ac113-0001-012
565,9156348965443071510-242ac113-0001-012
566,5602318304782914026-242ac113-0001-012
567,1334678614377107946-242ac113-0001-012
568,3583977657519641066-242ac113-0001-012
569,7887045666864557590-242ac113-0001-012
570,942658112818114070-242ac113-0001-012
571,6921763380680191510-242ac113-0001-012
572,8418055914367554026-242ac113-0001-012
573,1867992598904237590-242ac113-0001-012
574,7712478618233082346-242ac113-0001-012
575,6018606676798083563-242ac118-0001-012
576,8181766322716077590-242ac113-0001-012
577,4228506624785837590-242ac113-0001-012
578,6687289502399917590-242ac113-0001-012
579,1634982727713427946-242ac113-0001-012
580,2429710415767989780-242ac117-0001-012
581,6037504524310548971-242ac118-0001-012
582,2867705961565721066-242ac113-0001-012
583,6775059124955714026-242ac113-0001-012
584,5533985375103554026-242ac113-0001-012
585,1329892364225474070-242ac113-0001-012
586,8746523399574000106-242ac113-0001-012
587,3852482238021037590-242ac113-0001-012
588,6992157894661631510-242ac113-0001-012
589,8260559463623234026-242ac113-0001-012
590,4256232604543554026-242ac113-0001-012
591,8338083627611001322-242ac113-0001-012
592,7341861007509614100-242ac117-0001-012
593,1323474861436628500-242ac114-0001-012
594,5955685401616716267-242ac118-0001-012
595,1126252846436904470-242ac113-0001-012
596,8030524382488826346-242ac113-0001-012
597,2756578382773677590-242ac113-0001-012
598,8630645181927920106-242ac113-0001-012
599,3373155992404627946-242ac113-0001-012
600,2434864376523189780-242ac117-0001-012
601,5639607413980074476-242ac114-0001-012
602,3822323672220307946-242ac113-0001-012
603,7107489593666114026-242ac113-0001-012
604,8243422544112194026-242ac113-0001-012
605,7333228123244654100-242ac117-0001-012
606,4122756634575507946-242ac113-0001-012
607,6018692567554068971-242ac118-0001-012
608,5646780009364394476-242ac114-0001-012
609,8755511499109241322-242ac113-0001-012
610,7712982255949311510-242ac113-0001-012
611,9106343932525997590-242ac113-0001-012
612,2624672041730707946-242ac113-0001-012
613,3829699402377794026-242ac113-0001-012
614,4069315627821634026-242ac113-0001-012
615,6819070712632831510-242ac113-0001-012
616,8585805723357680106-242ac113-0001-012
617,4746085238243987946-242ac113-0001-012
618,857832508722114070-242ac113-0001-012
619,4903441226377794026-242ac113-0001-012
620,311109903777197590-242ac113-0001-012
621,7968372769728762346-242ac113-0001-012
622,8275076384336122346-242ac113-0001-012
623,5954568081702317590-242ac113-0001-012
624,9134218270277037590-242ac113-0001-012
625,4796344250989997590-242ac113-0001-012
626,8093571135154754026-242ac113-0001-012
627,4523699722744950294-242ac113-0001-012
628,2431299553667509780-242ac117-0001-012
629,8107572659792122346-242ac113-0001-012
630,2429409768057269780-242ac117-0001-012
631,8997091791622640106-242ac113-0001-012
632,3775843257317322260-242ac117-0001-012
633,6018649617881108971-242ac118-0001-012
634,5968613248882708971-242ac118-0001-012
635,7426679735997951510-242ac113-0001-012
636,7783419719603711510-242ac113-0001-012
637,5601736518335917590-242ac113-0001-012
638,2247238211141037590-242ac113-0001-012
639,5982357144229908971-242ac118-0001-012
640,2729563038481837590-242ac113-0001-012
641,1659772584394157590-242ac113-0001-012
642,6494660219174317590-242ac113-0001-012
643,8064755271837946346-242ac113-0001-012
644,5974712102443028971-242ac118-0001-012
645,5480876138626477590-242ac113-0001-012
646,4570815518277037590-242ac113-0001-012
647,8118141715327226346-242ac113-0001-012
648,7905482690156031510-242ac113-0001-012
649,214808841618067946-242ac113-0001-012
650,8546690184882754026-242ac113-0001-012
651,8709918451105197590-242ac113-0001-012
652,6336175925951917590-242ac113-0001-012
653,8531400101308994026-242ac113-0001-012
654,6018606681093050859-242ac118-0001-012
655,8110879853357634026-242ac113-0001-012
656,7757509453217197590-242ac113-0001-012
657,3542815095979437590-242ac113-0001-012
658,6038105824026956267-242ac118-0001-012
659,8100489399740666346-242ac113-0001-012
660,2469933364990504470-242ac113-0001-012
